id,visitors
air_00a91d42b08b08d9_2017-04-23,3.1765
air_00a91d42b08b08d9_2017-04-24,26.5648
air_00a91d42b08b08d9_2017-04-25,23.1722
air_00a91d42b08b08d9_2017-04-26,29.0661
air_00a91d42b08b08d9_2017-04-27,31.3241
air_00a91d42b08b08d9_2017-04-28,38.5734
air_00a91d42b08b08d9_2017-04-29,17.0000
air_00a91d42b08b08d9_2017-04-30,4.1465
air_00a91d42b08b08d9_2017-05-01,26.2100
air_00a91d42b08b08d9_2017-05-02,28.6988
air_00a91d42b08b08d9_2017-05-03,42.7937
air_00a91d42b08b08d9_2017-05-04,24.7955
air_00a91d42b08b08d9_2017-05-05,24.7747
air_00a91d42b08b08d9_2017-05-06,8.5368
air_00a91d42b08b08d9_2017-05-07,4.9608
air_00a91d42b08b08d9_2017-05-08,31.7826
air_00a91d42b08b08d9_2017-05-09,27.0243
air_00a91d42b08b08d9_2017-05-10,31.5641
air_00a91d42b08b08d9_2017-05-11,33.6867
air_00a91d42b08b08d9_2017-05-12,38.4743
air_00a91d42b08b08d9_2017-05-13,9.6255
air_00a91d42b08b08d9_2017-05-14,5.9002
air_00a91d42b08b08d9_2017-05-15,30.4288
air_00a91d42b08b08d9_2017-05-16,26.6379
air_00a91d42b08b08d9_2017-05-17,31.3694
air_00a91d42b08b08d9_2017-05-18,32.5875
air_00a91d42b08b08d9_2017-05-19,37.9310
air_00a91d42b08b08d9_2017-05-20,8.6954
air_00a91d42b08b08d9_2017-05-21,6.8886
air_00a91d42b08b08d9_2017-05-22,28.2285
air_00a91d42b08b08d9_2017-05-23,24.1252
air_00a91d42b08b08d9_2017-05-24,30.7513
air_00a91d42b08b08d9_2017-05-25,32.3013
air_00a91d42b08b08d9_2017-05-26,37.5874
air_00a91d42b08b08d9_2017-05-27,8.6517
air_00a91d42b08b08d9_2017-05-28,7.0508
air_00a91d42b08b08d9_2017-05-29,25.6853
air_00a91d42b08b08d9_2017-05-30,24.3165
air_00a91d42b08b08d9_2017-05-31,30.7295
air_0164b9927d20bcc3_2017-04-23,25.0395
air_0164b9927d20bcc3_2017-04-24,5.8999
air_0164b9927d20bcc3_2017-04-25,8.6813
air_0164b9927d20bcc3_2017-04-26,9.1581
air_0164b9927d20bcc3_2017-04-27,7.0702
